disease,Disease Category
Chronic Adenoiditis Grade 3 Adenoid Hypertrophy,"Ear, Nose & Throat Disorders"
Chronic Adenoiditis Grade 3 Adenoid Hypertrophy,"Ear, Nose & Throat Disorders"
Chronic Adenoiditis Grade 3 Adenoid Hypertrophy,"Ear, Nose & Throat Disorders"
Chronic diseases of tonsils and adenoids,"Ear, Nose & Throat Disorders"
Chronic ischaemic heart disease,Heart Ailments
Chronic ischaemic heart disease,Heart Ailments
Chronic ischaemic heart disease,Heart Ailments
Chronic Kidney Disease,Kidney Ailments
CHRONIC LIVER DISEASES,Gastrointestinal Disorders (Liver)
Chronic renal failure,Kidney Ailments
Chronic renal failure,Kidney Ailments
Chronic renal failure,Kidney Ailments
Chronic renal failure,Kidney Ailments
Chronic renal failure,Kidney Ailments
Chronic renal failure,Kidney Ailments
"Cirrhosis, CKD","Gastrointestinal Disorders (Liver, Kidney)"
Ckd,Kidney Ailments
Ckd,Kidney Ailments
Ckd,Kidney Ailments
Ckd,Kidney Ailments
CKD,Kidney Ailments
CKD,Kidney Ailments
CLD HBV RELATED ASPIRATION PNEUMONITIS,Respiratory Disorders (Liver Complication)
Cloaca Status Post Colostomy,Congenital Disorders
CLOSED FRAQCTURE CLAVICLE R,Musculoskeletal Disorders
COMPLETE ACL TEAR M MEDIAL MENISCUS TEAR RIGHT KNEE,Musculoskeletal Disorders (Knee)
CONSTIPATION,Gastrointestinal Disorders
Coxarthrosis [arthrosis of hip],Musculoskeletal Disorders
CRF AVF,Kidney Ailments (Fistula)
CSOM,"Ear, Nose & Throat Disorders"
CSOM - Tonsillectomy with Adenoidectomy,"Ear, Nose & Throat Disorders"
CVA HTN,"Neurological Disorders (Stroke, Hypertension)"
D10 D11 INFECTIVE SPONDYLODISCITIS WITH PARAPARESIS WITH LUMBA FACETAL ARTHROPATHY.,"Musculoskeletal Disorders (Spine, Infectious)"
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Delivery,Maternity & Reproductive Health
Dengue,Infectious Diseases
Dengue,Infectious Diseases
DENGUE,Infectious Diseases
Dengue Fever,Infectious Diseases
Dengue Fever,Infectious Diseases
dengue fever,Infectious Diseases
DENGUE FEVER,Infectious Diseases
dengue fever,Infectious Diseases
DENGUE Fever,Infectious Diseases
DENGUE FEVER,Infectious Diseases
Dengue fever [classical dengue],Infectious Diseases
Dengue fever [classical dengue],Infectious Diseases
Dengue fever [classical dengue],Infectious Diseases
Dengue Fever With Dehydration,Infectious Diseases
Dengue Fever With Dehydration,Infectious Diseases
Dengue Fever With Dehydration,Infectious Diseases
Dengue Fever With Dehydration,Infectious Diseases
Dengue Fever With Dehydration,Infectious Diseases
Dengue fever with TCP with dehydration,Infectious Diseases
Dengue Fever With Thrombocytopenia,Infectious Diseases
dengue fever with thrombocytopenia,Infectious Diseases
"DENGUE FEVER WITH THROMBOCYTOPENIA
 DEHYDRATION",Infectious Diseases (with Dehydration)
DENTAL EXAMINATION,Other (Dental)
DIABETIC MACULAR EDEMA,Eye Disorders (Diabetic Complication)
DIABETIC RETINOPATHY,Eye Disorders (Diabetic Complication)
DIARRHOEA AND GASTROENTERITIS,Gastrointestinal Disorders
DIFFICULTY IN BREATHING,Respiratory Disorders
Diffuse Large B-Cell Lymphoma,Cancer
"DISLOCATION, SPRAIN AND STRAIN OF JOINTS AND LIGAMENTS OF KNEE",Musculoskeletal Disorders (Knee)
Disorders of refraction and accommodation,Eye Disorders
Displaced fracture metacarpal,Musculoskeletal Disorders
Distal Fracture Right Wrist,Musculoskeletal Disorders
Distal radius ulnar joint dislocation,Musculoskeletal Disorders
DJ STENT REMOVAL,Kidney Ailments
DNS,Other
DNS,Other
Doctor consultation,Other (Consultation Type)
Dorsalgia,Musculoskeletal Disorders (Back Pain)
DRISHTI ROGA,Eye Disorders
DRISHTI ROGA,Eye Disorders
DRUJ FIXATION RIGHT WRIST,Musculoskeletal Disorders
"DUB,FIBROID UTERUS",Maternity & Reproductive Health (Uterine)
ECCHYMOSIS SCROTUM,Genitourinary Disorders
ECTOPIC PREGNANCY,Maternity & Reproductive Health
ectopic pregnancy,Maternity & Reproductive Health
Ectopic pregnancy,Maternity & Reproductive Health
ECTOPIC PREGNANCY,Maternity & Reproductive Health
Encounter for cesarean delivery without indication,Maternity & Reproductive Health
Encounter for delivery,Maternity & Reproductive Health
Encounter for delivery,Maternity & Reproductive Health
Encounter for delivery,Maternity & Reproductive Health
ENDOMETRIAL POLYP,Maternity & Reproductive Health (Uterine)
ENDOMETRIAL SCAR,Maternity & Reproductive Health
Endometriosis,Maternity & Reproductive Health
ENLARGED ADENOIDS,"Ear, Nose & Throat Disorders"
ENLARGED ADENOIDS,"Ear, Nose & Throat Disorders"
ENT,"Ear, Nose & Throat Disorders"
ENTERIC FEVER,Infectious Diseases
enteric fever,Infectious Diseases
Enteric Fever,Infectious Diseases
ENTERIC FEVER,Infectious Diseases
ENTERIC FEVER,Infectious Diseases
ENTERIC FEVER,Infectious Diseases
ENTERIC FEVER,Infectious Diseases
ENTERIC FEVER,Infectious Diseases
ENTERIC FEVER,Infectious Diseases
"Enteric fever , hypocalcemia , cystitis 
 ------med. mgt","Infectious Diseases, Endocrine Disorders, Kidney Ailments"
Enteric Fever With Lrti With Acute Abdomen With Dehydration,Infectious Diseases
Enterocolitis,Infectious Diseases
Enterocolitis,Infectious Diseases
Enterocolitis,Infectious Diseases
Enterocolitis,Infectious Diseases
ENTEROCOLITIS,Infectious Diseases
entric fever,Infectious Diseases
esrd,Kidney Ailments (End Stage Renal Disease)
EVALUATION OF CHEST INJURY,Respiratory Disorders
facial injury,Other (Injury Type)
Fallopian Tube,Maternity & Reproductive Health
Febrile convulsions,Neurological Disorders
FEVER,Infectious Diseases
FEVER,Infectious Diseases
FEVER,Infectious Diseases
FEVER,Infectious Diseases
FEVER,Infectious Diseases
fever,Infectious Diseases
"FEVER , ANEMIA",Infectious Diseases (with Anemia)
"FEVER , BURNING MICTURITION",Kidney Ailments (with Fever)
Fever Of Unknown Origin,Infectious Diseases
FEVER WITH AGE,Infectious Diseases
FEVER WITH CHILLS,Infectious Diseases
FEVER WITH URTI,"Respiratory Disorders, Infectious Diseases"
"Fever, unspecified",Infectious Diseases
"FEVER,UTI AND SEPSIS","Infectious Diseases, Kidney Ailments"
FIBROID IN UTERUS,Maternity & Reproductive Health (Uterine)
FIBROID UTERUS,Maternity & Reproductive Health (Uterine)
Finger Tip Amputation Left Hand,Musculoskeletal Disorders
Fissure,Gastrointestinal Disorders
FISSURE,Gastrointestinal Disorders
FISSURE IN ANO,Gastrointestinal Disorders
FISSURE IN ANO,Gastrointestinal Disorders
FISSURE IN ANO,Gastrointestinal Disorders
"Fissure in ano
 ----Fissurectomy",Gastrointestinal Disorders
FISTULA,Other (Requires Context)
Fistula Surgery,"Other (Surgical Procedure, Requires Context)"
Foreign body in stomach,Gastrointestinal Disorders
FRACTURE comminuted distal femur RIGHT,Musculoskeletal Disorders
FRACTURE OF FOREARM LT,Musculoskeletal Disorders
"Fracture of lower leg, including ankle",Musculoskeletal Disorders
FRACTURE OF NECK OF FEMUR IMPLANT RMEOVAL,Musculoskeletal Disorders
fracture of radius,Musculoskeletal Disorders
Fracture of shoulder and upper arm,Musculoskeletal Disorders
FRACTURE OF TIBIA - RTA,Musculoskeletal Disorders
FRACTURE SMALL BONES OF HAND,Musculoskeletal Disorders
Frcature Clavicle With Broken Plate,Musculoskeletal Disorders
FT LSCS,Maternity & Reproductive Health
FT NORMAL DELIVERY,Maternity & Reproductive Health
ftnd,Maternity & Reproductive Health
FTND,Maternity & Reproductive Health
FULL TERM PREG WITH PREVIOUS LSCS,Maternity & Reproductive Health
G1 FTND,Maternity & Reproductive Health
G1 FTND,Maternity & Reproductive Health
G1 LSCS,Maternity & Reproductive Health
G1 WITH FTP WITH MODERATE ANEMIA,Maternity & Reproductive Health
G1 with term pregnancy,Maternity & Reproductive Health
G2 A1 WITH 40 WKS GA IN ACTIVE PHASE OF LABOUR,Maternity & Reproductive Health
G2P0A1WITH TWINS,Maternity & Reproductive Health
G2P1,Maternity & Reproductive Health
G2P1 FTND,Maternity & Reproductive Health
G2P1 LSCS,Maternity & Reproductive Health
G2P1 LSCS,Maternity & Reproductive Health
G2p1d1 At 37 Weeks 5 Days Of Gestational Age For Safe Confinement,Maternity & Reproductive Health
G2p1d1 At 37 Weeks 5 Days Of Gestational Age For Safe Confinement,Maternity & Reproductive Health
G2p1d1 At 37 Weeks 5 Days Of Gestational Age For Safe Confinement,Maternity & Reproductive Health
G2p1d1 At 37 Weeks 5 Days Of Gestational Age For Safe Confinement,Maternity & Reproductive Health
G2P1L0A1 LSCS,Maternity & Reproductive Health
G2P1L1,Maternity & Reproductive Health
G2p1l1 At 39 Weeks Gestation With Previous Nvd,Maternity & Reproductive Health
G2p1l1 At 39 Weeks Gestation With Previous Nvd,Maternity & Reproductive Health
G2p1l1 At 39 Weeks Gestation With Previous Nvd,Maternity & Reproductive Health
G2p1l1 At 39 Weeks Gestation With Previous Nvd,Maternity & Reproductive Health
G2P1L1 FTND,Maternity & Reproductive Health
G2P1L1 LSCS,Maternity & Reproductive Health
G2P1L1 LSCS,Maternity & Reproductive Health
G2p1l1 With Term Ga With Prev Lscs,Maternity & Reproductive Health
G2p1l1 With Term Ga With Prev Lscs,Maternity & Reproductive Health
G2p1l1 With Term Ga With Prev Lscs,Maternity & Reproductive Health
G2p1l1 With Term Ga With Prev Lscs,Maternity & Reproductive Health
G2P1L1A0,Maternity & Reproductive Health
"G2P1L1A0 , 9 MONTHS POG",Maternity & Reproductive Health
G2P2A0L1 FTND,Maternity & Reproductive Health
G2P2L1A0 PREGNANCY,Maternity & Reproductive Health
"G3 P2 L2 WITH 2 PREV LSCS, TUBECTOMISED WITH RIGHT TUBAL UNRUPTURED ECTOPIC PREGNANCY WITH 5 WEEKS GA.",Maternity & Reproductive Health
G3P1A1 LSCS,Maternity & Reproductive Health
G3P1L1A1,Maternity & Reproductive Health
G3P1L1A1 WITH 37.6 WEEKS,Maternity & Reproductive Health
G3P2L1A1-LSCS WITH TUBECTOMY,Maternity & Reproductive Health
G3P2L2 NVD,Maternity & Reproductive Health
G4 P1 L1 Mtp2 With 39 Weeks 1 Day Gestation For Induction Of Labour,Maternity & Reproductive Health
G4A3- incompetence of cervix uteri.,Maternity & Reproductive Health
G4P1L1A2,Maternity & Reproductive Health
GALL BLADDER STONE,Gastrointestinal Disorders
GALL STONE,Gastrointestinal Disorders
GENERAL SURGERY,"Other (Surgical, Requires Context)"
GENERAL SURGERY,"Other (Surgical, Requires Context)"
GENERAL SURGERY,"Other (Surgical, Requires Context)"
Gonarthrosis [arthrosis of knee],Musculoskeletal Disorders
Gonarthrosis [arthrosis of knee],Musculoskeletal Disorders
Haemorrhage in early pregnancy,Maternity & Reproductive Health
HAEMRROHIDS,Gastrointestinal Disorders
HEAD INJURY,Other (Injury Type)
HEAD INJURY,Other (Injury Type)
"Hemiplegia, unspecified",Neurological Disorders
HenochSchnlein purpura,Other (Autoimmune)
HEPATITIS WITH ENTERIC FEVER,"Infectious Diseases, Gastrointestinal Disorders (Liver)"
hiatus hernia with gastritis,Gastrointestinal Disorders
High Anal Fistula With Anal Fissure With Hemorrhoids,Gastrointestinal Disorders
Horizontal Diplopia With Left Lateral Ractus Palsy,Eye Disorders
HTN ANGINA,"Heart Ailments, Cardiovascular Disorders"
"HTN EMERGENCY, POLYCYTHEMIA",Heart Ailments
HYPER BILIRUBINEMIA,Other (Elevated Bilirubin)
"Hyperglycemia, DM,HTN",Endocrine Disorders (with Hypertension)
HYPOGLYCEMIA,Endocrine Disorders
HYPOKALEMIA,Other (Electrolyte Imbalance)
Hyponatremia,Endocrine Disorders
Hyponatremia,Endocrine Disorders
Hyponatremia,Endocrine Disorders
Hyponatremia,Endocrine Disorders
Hyponatremia. ALCOHOLIC LIVER DIASEASE,"Gastrointestinal Disorders (Liver, Electrolyte)"
"hypothyroidism, SEPTICEMIA","Endocrine Disorders, Infectious Diseases"
ILEITIS,Gastrointestinal Disorders
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
Illness,Other
implant removal,"Other (Surgical Procedure, Requires Context)"
IMPLANT REMOVAL LT LEG,Musculoskeletal Disorders
Incisional Hernia - Hernioplasty,Gastrointestinal Disorders
Incisional Hernia - Hernioplasty,Gastrointestinal Disorders
Incisional Hernia - Hernioplasty,Gastrointestinal Disorders
Incisional Hernia - Hernioplasty,Gastrointestinal Disorders
Infected cyst right inguinal region,"Other (Infection, Lymphatic System)"
Infected Granuloma Over Right Heel Region With Discharging Sinus,Skin Disorders
Infective Hepatitis,Infectious Diseases
INGUINAL HERNIA,Gastrointestinal Disorders
INGUINAL HERNIA,Gastrointestinal Disorders
INJURY OF WRIST AND HAND,Musculoskeletal Disorders
Intersphincteric Fistula-In-Ano,Gastrointestinal Disorders
Intersphincteric Fistula-In-Ano,Gastrointestinal Disorders
Intersphincteric Fistula-In-Ano,Gastrointestinal Disorders
Intersphincteric Fistula-In-Ano,Gastrointestinal Disorders
Intussusception,Gastrointestinal Disorders
Involuntarily Abortion due to miscarriage,Maternity & Reproductive Health
IUGR TTN,Maternity & Reproductive Health (Neonatal)
JAUNDICE,"Other (Symptom, Requires Context)"
K. PNEUMONIAE SEPSIS,Infectious Diseases
KLEBISELLA SEPSIS,Infectious Diseases
L3 L4 Anterolisthesis,Musculoskeletal Disorders (Spine)
L4 L5 Ivdp,Musculoskeletal Disorders (Spine)
L4 L5 Ivdp,Musculoskeletal Disorders (Spine)
L4 L5 Ivdp,Musculoskeletal Disorders (Spine)
L4 L5 Ivdp,Musculoskeletal Disorders (Spine)
L4-L5 L5s1 Ivdp With Listhesis,Musculoskeletal Disorders (Spine)
L4-L5 L5s1 Ivdp With Listhesis,Musculoskeletal Disorders (Spine)
L4-L5 L5s1 Ivdp With Listhesis,Musculoskeletal Disorders (Spine)
L4-L5 L5s1 Ivdp With Listhesis,Musculoskeletal Disorders (Spine)
lab cholecystectomy,Gastrointestinal Disorders
Labour Pains,Maternity & Reproductive Health
Laparoscopic Assisted Vaginal Hysterectomy + Bilateral Salpingectomy + B/L oophorectomy,Maternity & Reproductive Health (Surgical)
Laparoscopic Hysterectomy,Maternity & Reproductive Health (Surgical)
LARGE LIPOMA OVER BACK,Skin Disorders
Laryngotracheobronchitis,Respiratory Disorders
LATERAL MENISCUS TEAR RIGHT KNEE,Musculoskeletal Disorders (Knee)
LE cataract MICS,Eye Disorders
Le Near Mature Cataract,Eye Disorders
left axillary swelling,Other (Lymphatic System)
Left Body Of Zygoma And Zygomatic Arch Fracture With Left Zygomatic Maxillary Fracture,Other (Injury Type)
left brachial plexus injury,Neurological Disorders
Left Eye - Cataract,Eye Disorders
LEFT EYE CATARACT,Eye Disorders
Left Eye Cataract,Eye Disorders
left eye cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
Left Eye Cataract,Eye Disorders
left eye cataract,Eye Disorders
LEFT EYE CATARACT SURGERY,Eye Disorders
LEFT EYE CATARACT SURGERY,Eye Disorders
Left Eye Dcr Operative Note Left Eye Dcr,Eye Disorders
left eye detachment,Eye Disorders
Left Hilar mass under evaluation,Respiratory Disorders
left knee fracture,Musculoskeletal Disorders
Left LL acute deep thrombosis,Cardiovascular Disorders (Circulatory Issues)
LEFT LOWER URETRIC CALCULI,Kidney Ailments
LEFT RENAL DYSURIA UTI,Kidney Ailments
"LEFT UNDESENDED TESTIS, HERNIA",Genitourinary Disorders
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Upper Ureteric Stone With Htn,Kidney Ailments
Left Ureteric Calculus,Kidney Ailments
leg operation,Musculoskeletal Disorders (Requires More Context)
LEUCOPENIA UNDER EVALUATION,Other (Hematological)
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI,Respiratory Disorders
LRTI - MEDICAL MGMT,Respiratory Disorders
LRTI ENTRIC FEVER,"Respiratory Disorders, Infectious Diseases"
